"congress","year","icpsr","statecode","district","state","party","occupancy","means","name","pres_matches","pres_votes","pres_there_for","score"
84,1956,10301,48,0,"SOUTH CAROLINA",100,2,5,"WOFFORD",9,63,44,14.3
84,1956,10450,36,0,"NORTH DAKOTA",200,0,1,"YOUNG",23,63,56,36.5
84,1956,99369,48,0,"SOUTH CAROLINA",100,1,1,"THURMOND",6,63,19,NA
84,1956,99901,99,0,"USA",200,0,0,"EISENHOWER",63,63,63,100
85,1957,52,6,0,"VERMONT",200,0,1,"AIKEN",44,57,54,77.2
85,1957,142,62,0,"COLORADO",200,0,1,"ALLOTT",47,57,57,82.5
85,1957,165,66,0,"NEW MEXICO",100,0,1,"ANDERSON",26,57,48,45.6
85,1957,464,68,0,"WYOMING",200,0,1,"BARRETT",43,57,55,75.4
85,1957,546,52,0,"MARYLAND",200,0,1,"BEALL",46,57,54,80.7
85,1957,645,67,0,"UTAH",200,0,1,"BENNETT",50,57,55,87.7
85,1957,688,65,0,"NEVADA",100,0,1,"BIBLE",32,57,57,56.1
85,1957,777,49,0,"TEXAS",100,2,5,"BLAKLEY",3,57,3,NA
85,1957,1024,24,0,"OHIO",200,0,1,"BRICKER",38,57,55,66.7
85,1957,1027,4,0,"NEW HAMPSHIRE",200,0,1,"BRIDGES",15,57,18,NA
85,1957,1329,1,0,"CONNECTICUT",200,0,1,"BUSH",50,57,57,87.7
85,1957,1341,52,0,"MARYLAND",200,0,1,"BUTLER",38,57,54,66.7
85,1957,1365,40,0,"VIRGINIA",100,0,1,"BYRD",20,57,50,35.1
85,1957,1489,22,0,"INDIANA",200,0,1,"CAPEHART",45,57,54,78.9
85,1957,1510,32,0,"KANSAS",200,0,1,"CARLSON",48,57,52,84.2
85,1957,1540,62,0,"COLORADO",100,0,1,"CARROLL",38,57,57,66.7
85,1957,1569,12,0,"NEW JERSEY",200,0,1,"CASE  C.",49,57,57,86
85,1957,1570,37,0,"SOUTH DAKOTA",200,0,1,"CASE  F.",41,57,51,71.9
85,1957,1678,66,0,"NEW MEXICO",100,0,1,"CHAVEZ",29,57,54,50.9
85,1957,1721,63,0,"IDAHO",100,0,1,"CHURCH",39,57,56,68.4
85,1957,1776,14,0,"PENNSYLVANIA",100,0,1,"CLARK  J.",42,57,57,73.7
85,1957,2052,51,0,"KENTUCKY",200,0,1,"COOPER",50,57,54,87.7
85,1957,2087,4,0,"NEW HAMPSHIRE",200,0,1,"COTTON",47,57,55,82.5
85,1957,2267,35,0,"NEBRASKA",200,0,1,"CURTIS",37,57,57,64.9
85,1957,2326,49,0,"TEXAS",100,1,1,"DANIEL",0,57,0,NA
85,1957,2609,21,0,"ILLINOIS",200,0,1,"DIRKSEN",53,57,57,93
85,1957,2691,21,0,"ILLINOIS",100,0,1,"DOUGLAS",42,57,57,73.7
85,1957,2803,63,0,"IDAHO",200,0,1,"DWORSHAK",39,57,57,68.4
85,1957,2822,46,0,"MISSISSIPPI",100,0,1,"EASTLAND",25,57,54,43.9
85,1957,2901,45,0,"LOUISIANA",100,0,1,"ELLENDER",28,57,57,49.1
85,1957,2987,47,0,"NORTH CAROLINA",100,0,1,"ERVIN",22,57,53,38.6
85,1957,3206,6,0,"VERMONT",200,0,1,"FLANDERS",47,57,52,82.5
85,1957,3349,11,0,"DELAWARE",100,0,1,"FREAR",27,57,51,47.4
85,1957,3388,42,0,"ARKANSAS",100,0,1,"FULBRIGHT",33,57,50,57.9
85,1957,3658,61,0,"ARIZONA",200,0,1,"GOLDWATER",35,57,50,61.4
85,1957,3704,54,0,"TENNESSEE",100,0,1,"GORE",32,57,52,56.1
85,1957,3783,5,0,"RHODE ISLAND",100,0,1,"GREEN",37,57,54,64.9
85,1957,4227,61,0,"ARIZONA",100,0,1,"HAYDEN",42,57,57,73.7
85,1957,4328,34,0,"MISSOURI",100,0,1,"HENNINGS",40,57,54,70.2
85,1957,4382,31,0,"IOWA",200,0,1,"HICKENLOOPE",50,57,56,87.7
85,1957,4418,41,0,"ALABAMA",100,0,1,"HILL",36,57,57,63.2
85,1957,4473,56,0,"WEST VIRGINIA",200,2,5,"HOBLITZELL",0,57,0,NA
85,1957,4520,43,0,"FLORIDA",100,0,1,"HOLLAND",41,57,57,71.9
85,1957,4660,35,0,"NEBRASKA",200,0,1,"HRUSKA",38,57,55,66.7
85,1957,4728,33,0,"MINNESOTA",100,0,1,"HUMPHREY",41,57,56,71.9
85,1957,4834,13,0,"NEW YORK",200,0,1,"IVES",46,57,54,80.7
85,1957,4851,73,0,"WASHINGTON",100,0,1,"JACKSON",38,57,57,66.7
85,1957,4898,13,0,"NEW YORK",200,0,1,"JAVITS",50,57,57,87.7
85,1957,4922,22,0,"INDIANA",200,0,1,"JENNER",26,57,46,45.6
85,1957,4979,49,0,"TEXAS",100,0,1,"JOHNSON  L.",42,57,55,73.7
85,1957,5009,48,0,"SOUTH CAROLINA",100,0,1,"JOHNSTON",24,57,57,42.1
85,1957,5073,47,0,"NORTH CAROLINA",100,2,2,"JORDAN",0,57,0,NA
85,1957,5122,54,0,"TENNESSEE",100,0,1,"KEFAUVER",35,57,57,61.4
85,1957,5180,3,0,"MASSACHUSETTS",100,0,1,"KENNEDY",43,57,57,75.4
85,1957,5213,53,0,"OKLAHOMA",100,0,1,"KERR",29,57,56,50.9
85,1957,5343,71,0,"CALIFORNIA",200,0,1,"KNOWLAND",54,57,57,94.7
85,1957,5372,71,0,"CALIFORNIA",200,0,1,"KUCHEL",48,57,57,84.2
85,1957,5452,36,0,"NORTH DAKOTA",200,0,1,"LANGER",15,57,35,26.3
85,1957,5500,24,0,"OHIO",100,0,1,"LAUSCHE",40,57,51,70.2
85,1957,5767,45,0,"LOUISIANA",100,0,1,"LONG  R.",25,57,56,43.9
85,1957,5913,73,0,"WASHINGTON",100,0,1,"MAGNUSON",32,57,55,56.1
85,1957,5944,65,0,"NEVADA",200,0,1,"MALONE",21,57,51,36.8
85,1957,5967,64,0,"MONTANA",100,0,1,"MANSFIELD",31,57,57,54.4
85,1957,6021,14,0,"PENNSYLVANIA",200,0,1,"MARTIN  E.",46,57,55,80.7
85,1957,6039,31,0,"IOWA",200,0,1,"MARTIN  T.",48,57,56,84.2
85,1957,6137,25,0,"WISCONSIN",200,1,1,"MCCARTHY",1,57,7,NA
85,1957,6151,42,0,"ARKANSAS",100,0,1,"MCCLELLAN",27,57,53,47.4
85,1957,6366,23,0,"MICHIGAN",100,0,1,"MCNAMARA",42,57,57,73.7
85,1957,6597,53,0,"OKLAHOMA",100,0,1,"MONRONEY",33,57,50,57.9
85,1957,6738,72,0,"OREGON",100,0,1,"MORSE",24,57,56,42.1
85,1957,6745,51,0,"KENTUCKY",200,0,1,"MORTON",54,57,57,94.7
85,1957,6796,37,0,"SOUTH DAKOTA",200,0,1,"MUNDT",43,57,57,75.4
85,1957,6820,64,0,"MONTANA",100,0,1,"MURRAY",35,57,55,61.4
85,1957,6856,56,0,"WEST VIRGINIA",100,1,1,"NEELY",34,57,51,59.6
85,1957,6882,72,0,"OREGON",100,0,1,"NEUBERGER",40,57,57,70.2
85,1957,7070,68,0,"WYOMING",100,0,1,"O'MAHONEY",31,57,56,54.4
85,1957,7229,5,0,"RHODE ISLAND",100,0,1,"PASTORE",39,57,57,68.4
85,1957,7271,2,0,"MAINE",200,0,1,"PAYNE",50,57,56,87.7
85,1957,7551,23,0,"MICHIGAN",200,0,1,"POTTER",47,57,57,82.5
85,1957,7638,25,0,"WISCONSIN",100,2,2,"PROXMIRE",3,57,3,NA
85,1957,7656,1,0,"CONNECTICUT",200,0,1,"PURTELL",47,57,53,82.5
85,1957,7826,56,0,"WEST VIRGINIA",200,0,2,"REVERCOMB",41,57,55,71.9
85,1957,7958,40,0,"VIRGINIA",100,0,1,"ROBERTSON",26,57,50,45.6
85,1957,8138,44,0,"GEORGIA",100,0,1,"RUSSELL  R.",26,57,57,45.6
85,1957,8185,3,0,"MASSACHUSETTS",200,0,1,"SALTONSTALL",51,57,56,89.5
85,1957,8270,32,0,"KANSAS",200,0,1,"SCHOEPPEL",40,57,53,70.2
85,1957,8313,47,0,"NORTH CAROLINA",100,1,1,"SCOTT",33,57,56,57.9
85,1957,8593,43,0,"FLORIDA",100,0,1,"SMATHERS",38,57,56,66.7
85,1957,8635,12,0,"NEW JERSEY",200,0,1,"SMITH  H.",50,57,57,87.7
85,1957,8666,2,0,"MAINE",200,0,1,"SMITH  M.",44,57,57,77.2
85,1957,8764,41,0,"ALABAMA",100,0,1,"SPARKMAN",36,57,57,63.2
85,1957,8883,46,0,"MISSISSIPPI",100,0,1,"STENNIS",30,57,57,52.6
85,1957,9141,34,0,"MISSOURI",100,0,1,"SYMINGTON",43,57,56,75.4
85,1957,9174,44,0,"GEORGIA",100,0,1,"TALMADGE",25,57,52,43.9
85,1957,9374,33,0,"MINNESOTA",200,0,1,"THYE",48,57,57,84.2
85,1957,9865,67,0,"UTAH",200,0,1,"WATKINS",48,57,56,84.2
85,1957,10110,25,0,"WISCONSIN",200,0,1,"WILEY",44,57,54,77.2
85,1957,10163,11,0,"DELAWARE",200,0,1,"WILLIAMS  J",41,57,57,71.9
85,1957,10414,49,0,"TEXAS",100,3,2,"YARBOROUGH",26,57,45,45.6
85,1957,10450,36,0,"NORTH DAKOTA",200,0,1,"YOUNG  M.",25,57,49,43.9
85,1957,99369,48,0,"SOUTH CAROLINA",100,0,1,"THURMOND",31,57,57,54.4
85,1957,99901,99,0,"USA",200,0,0,"EISENHOWER",57,57,57,100
85,1958,52,6,0,"VERMONT",200,0,1,"AIKEN",71,97,97,73.2
85,1958,142,62,0,"COLORADO",200,0,1,"ALLOTT",83,97,97,85.6
